2021-05-03 00:34:13,126 [    INFO] employer: A new worker Philip was hired
2021-05-03 00:34:13,134 [    INFO] employer: A new worker Leela was hired
2021-05-03 00:34:13,134 [    INFO] employer: A new worker Bender was hired
2021-05-03 00:34:13,134 [    INFO] employer: A new worker Amy was hired
2021-05-03 00:34:13,134 [    INFO] employer: A new worker Hermes was hired
2021-05-03 00:34:13,134 [    INFO] employer: A new worker Zoidberg was hired
2021-05-03 00:34:13,134 [    INFO] employer: Starting the work with 6 workers
2021-05-03 00:34:13,134 [    INFO] philip: Starting work
2021-05-03 00:34:13,134 [    INFO] philip: Package package_1 is assigned to <Worker(Philip, started 7132)>
2021-05-03 00:34:13,134 [    INFO] philip: Delivering package package_1
2021-05-03 00:34:13,134 [    INFO] leela: Starting work
2021-05-03 00:34:13,134 [    INFO] philip: Package package_1 successfully delivered
2021-05-03 00:34:13,134 [    INFO] bender: Starting work
2021-05-03 00:34:13,134 [    INFO] leela: Package package_2 is assigned to <Worker(Leela, started 3176)>
2021-05-03 00:34:13,134 [    INFO] employer: Package package_1 was delivered by Philip
2021-05-03 00:34:13,134 [    INFO] amy: Starting work
2021-05-03 00:34:13,134 [    INFO] bender: Package package_3 is assigned to <Worker(Bender, started 2072)>
2021-05-03 00:34:13,134 [    INFO] hermes: Starting work
2021-05-03 00:34:13,134 [    INFO] leela: Delivering package package_2
2021-05-03 00:34:13,134 [    INFO] zoidberg: Starting work
2021-05-03 00:34:13,134 [    INFO] philip: Package package_4 is assigned to <Worker(Philip, started 7132)>
2021-05-03 00:34:13,134 [    INFO] employer: Still 9999 packages to sent
2021-05-03 00:34:13,134 [    INFO] amy: Package package_5 is assigned to <Worker(Amy, started 9380)>
2021-05-03 00:34:13,134 [    INFO] bender: Delivering package package_3
2021-05-03 00:34:13,134 [    INFO] hermes: Package package_6 is assigned to <Worker(Hermes, started 4444)>
2021-05-03 00:34:13,134 [    INFO] leela: Package package_2 successfully delivered
2021-05-03 00:34:13,134 [    INFO] zoidberg: Package package_7 is assigned to <Worker(Zoidberg, started 7668)>
2021-05-03 00:34:13,134 [    INFO] philip: Delivering package package_4
2021-05-03 00:34:13,142 [    INFO] philip: Package package_4 successfully delivered
2021-05-03 00:34:13,142 [    INFO] employer: Package package_4 was delivered by Philip
2021-05-03 00:34:13,142 [    INFO] philip: Package package_8 is assigned to <Worker(Philip, started 7132)>
2021-05-03 00:34:13,134 [    INFO] hermes: Delivering package package_6
2021-05-03 00:34:13,134 [    INFO] employer: Package package_2 was delivered by Leela
2021-05-03 00:34:13,134 [    INFO] zoidberg: Delivering package package_7
2021-05-03 00:34:13,134 [    INFO] employer: Still 9999 packages to sent
2021-05-03 00:34:13,134 [    INFO] amy: Delivering package package_5
2021-05-03 00:34:13,134 [    INFO] bender: Package package_3 successfully delivered
2021-05-03 00:34:13,142 [    INFO] philip: Delivering package package_8
2021-05-03 00:34:13,142 [    INFO] hermes: Package package_6 successfully delivered
2021-05-03 00:34:13,142 [    INFO] leela: Package package_9 is assigned to <Worker(Leela, started 3176)>
2021-05-03 00:34:13,142 [    INFO] zoidberg: Package package_7 successfully delivered
2021-05-03 00:34:13,142 [    INFO] employer: Still 9997 packages to sent
2021-05-03 00:34:13,142 [    INFO] amy: Package package_5 successfully delivered
2021-05-03 00:34:13,142 [    INFO] employer: Package package_3 was delivered by Bender
2021-05-03 00:34:13,142 [    INFO] philip: Package package_8 successfully delivered
2021-05-03 00:34:13,142 [    INFO] employer: Package package_6 was delivered by Hermes
2021-05-03 00:34:13,142 [    INFO] leela: Delivering package package_9
2021-05-03 00:34:13,142 [    INFO] employer: Package package_7 was delivered by Zoidberg
2021-05-03 00:34:13,142 [    INFO] employer: Still 9994 packages to sent
2021-05-03 00:34:13,142 [    INFO] employer: Package package_5 was delivered by Amy
2021-05-03 00:34:13,142 [    INFO] bender: Package package_10 is assigned to <Worker(Bender, started 2072)>
2021-05-03 00:34:13,142 [    INFO] employer: Package package_8 was delivered by Philip
2021-05-03 00:34:13,142 [    INFO] hermes: Package package_11 is assigned to <Worker(Hermes, started 4444)>
2021-05-03 00:34:13,142 [    INFO] leela: Package package_9 successfully delivered
2021-05-03 00:34:13,142 [    INFO] zoidberg: Package package_12 is assigned to <Worker(Zoidberg, started 7668)>
2021-05-03 00:34:13,142 [    INFO] employer: Still 9992 packages to sent
2021-05-03 00:34:13,142 [    INFO] amy: Package package_13 is assigned to <Worker(Amy, started 9380)>
2021-05-03 00:34:13,142 [    INFO] bender: Delivering package package_10
2021-05-03 00:34:13,142 [    INFO] philip: Package package_14 is assigned to <Worker(Philip, started 7132)>
2021-05-03 00:34:13,142 [    INFO] hermes: Delivering package package_11
2021-05-03 00:34:13,142 [    INFO] employer: Package package_9 was delivered by Leela
2021-05-03 00:34:13,142 [    INFO] zoidberg: Delivering package package_12
2021-05-03 00:34:13,142 [    INFO] employer: Still 9991 packages to sent
2021-05-03 00:34:13,142 [    INFO] amy: Delivering package package_13
2021-05-03 00:34:13,142 [    INFO] bender: Package package_10 successfully delivered
2021-05-03 00:34:13,142 [    INFO] philip: Delivering package package_14
2021-05-03 00:34:13,142 [    INFO] hermes: Package package_11 successfully delivered
2021-05-03 00:34:13,142 [    INFO] leela: Package package_15 is assigned to <Worker(Leela, started 3176)>
2021-05-03 00:34:13,142 [    INFO] zoidberg: Package package_12 successfully delivered
2021-05-03 00:34:13,142 [    INFO] employer: Still 9991 packages to sent
2021-05-03 00:34:13,142 [    INFO] amy: Package package_13 successfully delivered
2021-05-03 00:34:13,142 [    INFO] employer: Package package_10 was delivered by Bender
2021-05-03 00:34:13,150 [    INFO] philip: Package package_14 successfully delivered
2021-05-03 00:34:13,150 [    INFO] employer: Package package_11 was delivered by Hermes
2021-05-03 00:34:13,150 [    INFO] leela: Delivering package package_15
2021-05-03 00:34:13,150 [    INFO] employer: Package package_12 was delivered by Zoidberg
2021-05-03 00:34:13,150 [    INFO] employer: Still 9988 packages to sent
2021-05-03 00:34:13,150 [    INFO] employer: Package package_13 was delivered by Amy
2021-05-03 00:34:13,150 [    INFO] bender: Package package_16 is assigned to <Worker(Bender, started 2072)>
2021-05-03 00:34:13,150 [    INFO] employer: Package package_14 was delivered by Philip
2021-05-03 00:34:13,150 [    INFO] hermes: Package package_17 is assigned to <Worker(Hermes, started 4444)>
2021-05-03 00:34:13,150 [    INFO] leela: Package package_15 successfully delivered
2021-05-03 00:34:13,150 [    INFO] zoidberg: Package package_18 is assigned to <Worker(Zoidberg, started 7668)>
2021-05-03 00:34:13,150 [    INFO] employer: Still 9986 packages to sent
2021-05-03 00:34:13,150 [    INFO] amy: Package package_19 is assigned to <Worker(Amy, started 9380)>
2021-05-03 00:34:13,150 [    INFO] bender: Delivering package package_16
2021-05-03 00:34:13,150 [    INFO] philip: Package package_20 is assigned to <Worker(Philip, started 7132)>
2021-05-03 00:34:13,150 [    INFO] hermes: Delivering package package_17
2021-05-03 00:34:13,150 [    INFO] employer: Package package_15 was delivered by Leela
2021-05-03 00:34:13,150 [    INFO] zoidberg: Delivering package package_18
2021-05-03 00:34:13,150 [    INFO] employer: Still 9985 packages to sent
2021-05-03 00:34:13,150 [    INFO] amy: Delivering package package_19
2021-05-03 00:34:13,150 [    INFO] bender: Package package_16 successfully delivered
2021-05-03 00:34:13,150 [    INFO] philip: Delivering package package_20
2021-05-03 00:34:13,150 [    INFO] hermes: Package package_17 successfully delivered
2021-05-03 00:34:13,150 [    INFO] leela: Package package_21 is assigned to <Worker(Leela, started 3176)>
2021-05-03 00:34:13,150 [    INFO] zoidberg: Package package_18 successfully delivered
2021-05-03 00:34:13,150 [    INFO] employer: Still 9985 packages to sent
2021-05-03 00:34:13,150 [    INFO] amy: Package package_19 successfully delivered
2021-05-03 00:34:13,150 [    INFO] employer: Package package_16 was delivered by Bender
2021-05-03 00:34:13,150 [    INFO] philip: Package package_20 successfully delivered
2021-05-03 00:34:13,150 [    INFO] employer: Package package_17 was delivered by Hermes
2021-05-03 00:34:13,150 [    INFO] leela: Delivering package package_21
2021-05-03 00:34:13,150 [    INFO] employer: Package package_18 was delivered by Zoidberg
2021-05-03 00:34:13,150 [    INFO] employer: Still 9982 packages to sent
2021-05-03 00:34:13,150 [    INFO] employer: Package package_19 was delivered by Amy
2021-05-03 00:34:13,150 [    INFO] bender: Package package_22 is assigned to <Worker(Bender, started 2072)>
2021-05-03 00:34:13,150 [    INFO] employer: Package package_20 was delivered by Philip
2021-05-03 00:34:13,150 [    INFO] hermes: Package package_23 is assigned to <Worker(Hermes, started 4444)>
2021-05-03 00:34:13,150 [    INFO] leela: Package package_21 successfully delivered
2021-05-03 00:34:13,150 [    INFO] zoidberg: Package package_24 is assigned to <Worker(Zoidberg, started 7668)>
2021-05-03 00:34:13,150 [    INFO] employer: Still 9980 packages to sent
2021-05-03 00:34:13,150 [    INFO] amy: Package package_25 is assigned to <Worker(Amy, started 9380)>
2021-05-03 00:34:13,150 [    INFO] bender: Delivering package package_22
2021-05-03 00:34:13,150 [    INFO] philip: Package package_26 is assigned to <Worker(Philip, started 7132)>
2021-05-03 00:34:13,150 [    INFO] hermes: Delivering package package_23
2021-05-03 00:34:13,150 [    INFO] employer: Package package_21 was delivered by Leela
2021-05-03 00:34:13,158 [    INFO] leela: Package package_27 is assigned to <Worker(Leela, started 3176)>
2021-05-03 00:34:13,158 [    INFO] leela: Delivering package package_27
2021-05-03 00:34:13,158 [    INFO] leela: Package package_27 successfully delivered
2021-05-03 00:34:13,158 [    INFO] employer: Package package_27 was delivered by Leela
2021-05-03 00:34:13,158 [    INFO] leela: Package package_28 is assigned to <Worker(Leela, started 3176)>
2021-05-03 00:34:13,158 [    INFO] leela: Delivering package package_28
2021-05-03 00:34:13,158 [    INFO] leela: Package package_28 successfully delivered
2021-05-03 00:34:13,150 [    INFO] employer: Still 9979 packages to sent
2021-05-03 00:34:13,150 [    INFO] amy: Delivering package package_25
2021-05-03 00:34:13,158 [    INFO] bender: Package package_22 successfully delivered
2021-05-03 00:34:13,158 [    INFO] philip: Delivering package package_26
2021-05-03 00:34:13,158 [    INFO] hermes: Package package_23 successfully delivered
2021-05-03 00:34:13,150 [    INFO] zoidberg: Delivering package package_24
2021-05-03 00:34:13,158 [    INFO] employer: Package package_28 was delivered by Leela
2021-05-03 00:34:13,158 [    INFO] employer: Still 9977 packages to sent
2021-05-03 00:34:13,158 [    INFO] amy: Package package_25 successfully delivered
2021-05-03 00:34:13,158 [    INFO] employer: Package package_22 was delivered by Bender
2021-05-03 00:34:13,158 [    INFO] philip: Package package_26 successfully delivered
